id;method;status;amount;transaction_id;created_at
1;VNPAY;SUCCESS;16654.69;while beside;2025-09-06T20:53:42
2;COD;SUCCESS;25888.07;but blaring;2025-09-06T11:20:07
3;CREDIT_CARD;SUCCESS;32691.51;brr apud;2025-09-06T18:15:14
4;CREDIT_CARD;FAILED;30683.11;habit eek;2025-09-06T03:11:28
5;VNPAY;FAILED;22458.28;yuck boo urban;2025-09-06T03:47:33
6;COD;SUCCESS;29843.84;why unto;2025-09-06T03:24:38
7;PAYPAL;SUCCESS;22577.13;gracefully;2025-09-06T14:43:02
8;CREDIT_CARD;FAILED;17308.88;supplier;2025-09-06T07:35:40
9;MOMO;SUCCESS;14744.62;once;2025-09-06T10:33:43
10;PAYPAL;SUCCESS;8064.13;palatable from of;2025-09-06T09:09:08
