id;name;description;base_price;image_url
1;bitterly duh which;../fake-data/blob/hipster.txt;13254.44;revoke
2;yearly successfully;../fake-data/blob/hipster.txt;13470.98;rubbery collectivization
3;what after illiterate;../fake-data/blob/hipster.txt;21253.78;napkin gadzooks after
4;until scarily;../fake-data/blob/hipster.txt;17177.8;while on sushi
5;till;../fake-data/blob/hipster.txt;7052.3;engage uh-huh
6;uselessly;../fake-data/blob/hipster.txt;3633.13;menacing antagonize deduction
7;electric;../fake-data/blob/hipster.txt;30788.61;urgently
8;lest ah;../fake-data/blob/hipster.txt;19243.74;loyally whose round
9;yowza daintily roughly;../fake-data/blob/hipster.txt;406.94;scoop um er
10;tensely fruitful square;../fake-data/blob/hipster.txt;2571.68;hawk thread
