id;rating;comment;created_at;updated_at
1;5;../fake-data/blob/hipster.txt;2025-09-06T16:11:15;2025-09-06T17:29:24
2;5;../fake-data/blob/hipster.txt;2025-09-06T12:39:22;2025-09-06T14:45:58
3;2;../fake-data/blob/hipster.txt;2025-09-06T12:51:42;2025-09-06T12:04:39
4;3;../fake-data/blob/hipster.txt;2025-09-06T12:15:09;2025-09-06T05:26:51
5;2;../fake-data/blob/hipster.txt;2025-09-06T16:10:37;2025-09-06T15:57:58
6;5;../fake-data/blob/hipster.txt;2025-09-07T01:13:08;2025-09-06T03:58:03
7;2;../fake-data/blob/hipster.txt;2025-09-06T17:45:21;2025-09-06T09:30:48
8;3;../fake-data/blob/hipster.txt;2025-09-07T01:15:59;2025-09-07T00:40:04
9;4;../fake-data/blob/hipster.txt;2025-09-06T22:26:05;2025-09-06T22:38:10
10;4;../fake-data/blob/hipster.txt;2025-09-07T02:07:29;2025-09-06T14:06:19
