id;status;total;shipping_address;created_at;updated_at
1;SHIPPED;4664.86;aching;2025-09-06T19:05:51;2025-09-07T02:32:12
2;PENDING;28677.77;thin;2025-09-06T20:10:33;2025-09-06T20:47:47
3;COMPLETED;15463.15;pfft;2025-09-06T13:27:30;2025-09-06T03:52:16
4;SHIPPED;17514.19;so oh ha;2025-09-06T15:49:38;2025-09-06T09:29:01
5;PAID;8963.53;veg abnegate underplay;2025-09-06T09:42:06;2025-09-06T08:52:19
6;PAID;981.36;till;2025-09-06T05:19:18;2025-09-07T01:42:17
7;COMPLETED;28945.14;boo;2025-09-07T02:25:18;2025-09-06T17:47:44
8;COMPLETED;3624.52;beret;2025-09-07T02:01:52;2025-09-06T20:59:56
9;CANCELED;3479.76;for;2025-09-06T03:57:43;2025-09-07T01:22:01
10;SHIPPED;7940.05;near;2025-09-07T02:45:47;2025-09-06T13:51:31
